Date,IDEX
10/7/2019,1.58
10/8/2019,1.57
10/9/2019,1.59
10/10/2019,1.54
10/11/2019,1.53
10/14/2019,1.47
10/15/2019,1.45
10/16/2019,1.34
10/17/2019,1.39
10/18/2019,1.31
10/21/2019,1.3
10/22/2019,1.23
10/23/2019,1.21
10/24/2019,1.24
10/25/2019,1.25
10/28/2019,1.27
10/29/2019,1.27
10/30/2019,1.2
10/31/2019,1.15
11/1/2019,1.17
11/4/2019,1.21
11/5/2019,1.19
11/6/2019,1.15
11/7/2019,1.15
11/8/2019,1.09
11/11/2019,1.1
11/12/2019,1.07
11/13/2019,1.09
11/14/2019,0.73
11/15/2019,0.71
11/18/2019,0.66
11/19/2019,0.82
11/20/2019,0.88
11/21/2019,0.88
11/22/2019,0.81
11/25/2019,1.03
11/26/2019,0.97
11/27/2019,0.94
11/29/2019,0.91
12/2/2019,0.92
12/3/2019,0.9
12/4/2019,0.84
12/5/2019,0.82
12/6/2019,0.86
12/9/2019,0.81
12/10/2019,0.73
12/11/2019,0.76
12/12/2019,0.75
12/13/2019,0.75
12/16/2019,0.71
12/17/2019,0.71
12/18/2019,0.75
12/19/2019,0.76
12/20/2019,0.74
12/23/2019,0.83
12/24/2019,0.83
12/26/2019,0.82
12/27/2019,0.79
12/30/2019,0.83
12/31/2019,0.86
1/2/2020,0.8
1/3/2020,0.79
1/6/2020,0.82
1/7/2020,0.81
1/8/2020,0.72
1/9/2020,0.74
1/10/2020,0.74
1/13/2020,0.7
1/14/2020,0.72
1/15/2020,0.69
1/16/2020,0.68
1/17/2020,0.7
1/21/2020,0.73
1/22/2020,0.71
1/23/2020,0.67
1/24/2020,0.65
1/27/2020,0.62
1/28/2020,0.66
1/29/2020,0.64
1/30/2020,0.62
1/31/2020,0.59
2/3/2020,0.6
2/4/2020,0.62
2/5/2020,0.63
2/6/2020,0.6
2/7/2020,0.57
2/10/2020,0.57
2/11/2020,0.58
2/12/2020,0.54
2/13/2020,0.49
2/14/2020,0.47
2/18/2020,0.49
2/19/2020,0.55
2/20/2020,0.57
2/21/2020,0.51
2/24/2020,0.49
2/25/2020,0.45
2/26/2020,0.41
2/27/2020,0.37
2/28/2020,0.36
3/2/2020,0.37
3/3/2020,0.41
3/4/2020,0.37
3/5/2020,0.37
3/6/2020,0.3
3/9/2020,0.3
3/10/2020,0.33
3/11/2020,0.34
3/12/2020,0.32
3/13/2020,0.37
3/16/2020,0.38
3/17/2020,0.38
3/18/2020,0.32
3/19/2020,0.42
